name,spot_id,link
Porcupine Rim,6,https://www.mtbproject.com/trail/157369/porcupine-rim
Slickrock,6,https://www.mtbproject.com/trail/2349861/slickrock
The Whole Enchilada,6,https://www.mtbproject.com/trail/4670265/the-whole-enchilada
Holy Guacamole,7,https://www.mtbproject.com/trail/7008987/holy-guacamole
Bearclaw Poppy,7,https://www.mtbproject.com/trail/4292802/bearclaw-poppy-and-snake-pit-loop
Gooseberry Mesa,7,https://www.mtbproject.com/trail/4183760/gooseberry-mesa-the-big-loop
Horsethief,10,https://www.mtbproject.com/directory/8013948/horsethief-area
Zippity Do Da,10,https://www.mtbproject.com/trail/273209/zippity-do-da
Chutes & Ladders,10,https://www.mtbproject.com/trail/271206/chutes-ladders-loop
Cockscomb Loop,8,https://www.mtbproject.com/trail/1015685/cockscomb
Mescal Trail ,8,https://www.mtbproject.com/trail/4956607/chuckwagon-mescal-long-canyon
Shadow Mountain ,9,https://www.mtbproject.com/trail/7017190/shadow-mountain-loop
Game Creek Loop,9,https://www.mtbproject.com/trail/4107927/game-creek-loop
Whistler Blackcomb,1,https://www.mtbproject.com/directory/8013526/blackcomb-mountain
Snowshoe Bike Park,2,https://www.mtbproject.com/directory/8010940/snowshoe-mountain-resort
Angel Fire Resort,3,https://www.mtbproject.com/directory/8012906/angel-fire-resort-and-bike-park
Kingdom Trails,4,https://www.mtbproject.com/directory/8012174/kingdom-trails
Pisgah Trails,5,https://www.mtbproject.com/directory/8012591/pisgah-national-forest
Mr. Toad's Revenge,11,https://www.mtbproject.com/trail/2425654/mr-toads-wild-ride-saxon-trail-18e13
